locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCF_011405655.1_00001	CDS	621				hypothetical protein
GCF_011405655.1_00002	CDS	192				hypothetical protein
GCF_011405655.1_00003	CDS	363				hypothetical protein
GCF_011405655.1_00004	CDS	2109	rssB			Regulator of RpoS
GCF_011405655.1_00005	CDS	1236	paaK_1	6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
GCF_011405655.1_00006	CDS	663	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
GCF_011405655.1_00007	CDS	6891				hypothetical protein
GCF_011405655.1_00008	CDS	1197				hypothetical protein
GCF_011405655.1_00009	CDS	612	kstD	1.3.99.4	COG1053	3-oxosteroid 1-dehydrogenase
GCF_011405655.1_00010	CDS	651				hypothetical protein
GCF_011405655.1_00011	CDS	732	walR_1		COG0745	Transcriptional regulatory protein WalR
GCF_011405655.1_00012	CDS	1743	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
GCF_011405655.1_00013	CDS	597	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
GCF_011405655.1_00014	CDS	2667	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
GCF_011405655.1_00015	CDS	1308				hypothetical protein
GCF_011405655.1_00016	CDS	312				hypothetical protein
GCF_011405655.1_00017	CDS	306				hypothetical protein
GCF_011405655.1_00018	CDS	702				hypothetical protein
GCF_011405655.1_00019	CDS	2307				hypothetical protein
GCF_011405655.1_00020	CDS	462	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
GCF_011405655.1_00021	CDS	231				hypothetical protein
GCF_011405655.1_00022	tRNA	87				tRNA-Leu(cag)
GCF_011405655.1_00023	CDS	1002				hypothetical protein
GCF_011405655.1_00024	CDS	1422				hypothetical protein
GCF_011405655.1_00025	CDS	1629	urdA_1	1.3.99.33	COG1053	Urocanate reductase
GCF_011405655.1_00026	CDS	330				hypothetical protein
GCF_011405655.1_00027	CDS	885				hypothetical protein
GCF_011405655.1_00028	CDS	1002				hypothetical protein
GCF_011405655.1_00029	CDS	1401				hypothetical protein
GCF_011405655.1_00030	CDS	288				hypothetical protein
GCF_011405655.1_00031	CDS	897	fliY_1		COG0834	L-cystine-binding protein FliY
GCF_011405655.1_00032	CDS	831				hypothetical protein
GCF_011405655.1_00033	CDS	129				hypothetical protein
GCF_011405655.1_00034	CDS	735	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
GCF_011405655.1_00035	CDS	606				hypothetical protein
GCF_011405655.1_00036	CDS	411				hypothetical protein
GCF_011405655.1_00037	CDS	684	ydjF		COG1842	Phage shock protein A 
GCF_011405655.1_00038	CDS	1173				hypothetical protein
GCF_011405655.1_00039	CDS	471				hypothetical protein
GCF_011405655.1_00040	CDS	1200				hypothetical protein
GCF_011405655.1_00041	CDS	1653	ubiB	2.7.-.-		protein kinase UbiB
GCF_011405655.1_00042	CDS	1284				hypothetical protein
GCF_011405655.1_00043	CDS	870				hypothetical protein
GCF_011405655.1_00044	CDS	414	fhaB		COG1716	FHA domain-containing protein FhaB
GCF_011405655.1_00045	CDS	1317				hypothetical protein
GCF_011405655.1_00046	CDS	2784	ftsI	3.4.16.4		Peptidoglycan D,D-transpeptidase FtsI
GCF_011405655.1_00047	CDS	1923	prkC	2.7.11.1	COG0515	Serine/threonine-protein kinase PrkC
GCF_011405655.1_00048	CDS	900				hypothetical protein
