Gene_Name	Cluster_ID	Functions
GCF_011405655.1_00008	GCF_011405655.1_1:Cl_0	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00009	GCF_011405655.1_1:Cl_0	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00010	GCF_011405655.1_1:Cl_0	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00013	GCF_011405655.1_1:Cl_0	Equol Gene Cluster/fix electron transport/FIXX
GCF_011405655.1_00025	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00053	GCF_011405655.1_1:Cl_1	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00054	GCF_011405655.1_1:Cl_1	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00074	GCF_011405655.1_1:Cl_2	Equol Gene Cluster/hydrogenase maturase/HYDF
GCF_011405655.1_00075	GCF_011405655.1_1:Cl_2	Equol Gene Cluster/hydrogenase maturase/HYDG
GCF_011405655.1_00076	GCF_011405655.1_1:Cl_2	Equol Gene Cluster/hydrogenase maturase/HYDE
GCF_011405655.1_00077	GCF_011405655.1_1:Cl_2	Equol Gene Cluster/hydrogenase maturase/HNDD
GCF_011405655.1_00078	GCF_011405655.1_1:Cl_2	Equol Gene Cluster/hydrogenase maturase/NADO
GCF_011405655.1_00091	GCF_011405655.1_1:Cl_3	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00092	GCF_011405655.1_1:Cl_3	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00098	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/hydrogenase maturase/HYDF
GCF_011405655.1_00238	GCF_011405655.1_1:Cl_4	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00239	GCF_011405655.1_1:Cl_4	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00240	GCF_011405655.1_1:Cl_4	Equol Gene Cluster/fix electron transport/FIXX
GCF_011405655.1_00265	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/hydrogenase maturase/HNDD
GCF_011405655.1_00274	GCF_011405655.1_1:Cl_5	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00275	GCF_011405655.1_1:Cl_5	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00295	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/fix electron transport/FIXX
GCF_011405655.1_00316	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/hydrogenase maturase/HNDD
GCF_011405655.1_00352	GCF_011405655.1_1:Cl_6	Equol Gene Cluster/fix electron transport/FIXC
GCF_011405655.1_00353	GCF_011405655.1_1:Cl_6	Equol Gene Cluster/fix electron transport/FIXX
GCF_011405655.1_00356	GCF_011405655.1_1:Cl_6	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00363	GCF_011405655.1_1:Cl_7	Equol Gene Cluster/fix electron transport/FIXA
GCF_011405655.1_00364	GCF_011405655.1_1:Cl_7	Equol Gene Cluster/fix electron transport/FIXB
GCF_011405655.1_00367	GCF_011405655.1_1:Cl_7	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00388	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00409	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/fix electron transport/FIXX
GCF_011405655.1_00450	GCF_011405655.1_1:Cl_8	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00451	GCF_011405655.1_1:Cl_8	Equol Gene Cluster/Equol Production Pathway/DZNR
GCF_011405655.1_00473	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00495	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00517	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00527	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00616	GCF_011405655.1_1:Cl_9	Equol Gene Cluster/Equol Production Pathway/DHDR
