# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1837	2199	-	GCF_011405655.1_00003		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KV93, UserProtein:GCF_011405655.1_00003
contig_1	cds	2231	4339	-	GCF_011405655.1_00004	rssB	Regulator of RpoS	SO:0001217, UniRef:UniRef50_A0A6N9PNG7, UserProtein:GCF_011405655.1_00004
contig_1	cds	4382	5617	-	GCF_011405655.1_00005	paaK_1	Phenylacetate-coenzyme A ligase	COG:COG1541, EC:6.2.1.30, SO:0001217, UniRef:UniRef50_B0TFJ5, UserProtein:GCF_011405655.1_00005
contig_1	cds	5750	6412	-	GCF_011405655.1_00006	phoB	Phosphate regulon transcriptional regulatory protein PhoB	COG:COG0745, UserProtein:GCF_011405655.1_00006
contig_1	cds	6849	13739	-	GCF_011405655.1_00007		hypothetical protein	UserProtein:GCF_011405655.1_00007
contig_1	cds	14114	15310	+	GCF_011405655.1_00008		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KV12, UserProtein:GCF_011405655.1_00008
contig_1	cds	15443	16054	-	GCF_011405655.1_00009	kstD	3-oxosteroid 1-dehydrogenase	COG:COG1053, EC:1.3.99.4, UserProtein:GCF_011405655.1_00009
contig_1	cds	16074	16724	-	GCF_011405655.1_00010		hypothetical protein	UserProtein:GCF_011405655.1_00010
contig_1	cds	16921	17652	-	GCF_011405655.1_00011	walR	Transcriptional regulatory protein WalR	COG:COG0745, SO:0001217, UniRef:UniRef50_I4A487, UserProtein:GCF_011405655.1_00011
contig_1	cds	17649	19391	-	GCF_011405655.1_00012	rcsC	Sensor histidine kinase RcsC	EC:2.7.13.3, SO:0001217, UniRef:UniRef50_A0A6N8JPT8, UserProtein:GCF_011405655.1_00012
contig_1	cds	19486	20082	-	GCF_011405655.1_00013	dmsB_1	Anaerobic dimethyl sulfoxide reductase chain B	COG:COG0437, SO:0001217, UniRef:UniRef50_A0A3N0AU26, UserProtein:GCF_011405655.1_00013
contig_1	cds	20086	22752	-	GCF_011405655.1_00014	dmsA	Dimethyl sulfoxide reductase DmsA	COG:COG0243, EC:1.8.5.3, SO:0001217, UniRef:UniRef50_A0A1J5JG87, UserProtein:GCF_011405655.1_00014
contig_1	cds	23172	24479	-	GCF_011405655.1_00015		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A5K1IWI1, UserProtein:GCF_011405655.1_00015
contig_1	cds	24682	24993	-	GCF_011405655.1_00016		hypothetical protein	SO:0001217, UniRef:UniRef50_F7UZA2, UserProtein:GCF_011405655.1_00016
contig_1	cds	24986	25291	-	GCF_011405655.1_00017		hypothetical protein	SO:0001217, UniRef:UniRef50_F7UZA3, UserProtein:GCF_011405655.1_00017
contig_1	cds	25419	26120	-	GCF_011405655.1_00018		hypothetical protein	SO:0001217, UniRef:UniRef50_D6E842, UserProtein:GCF_011405655.1_00018
contig_1	cds	26117	28423	-	GCF_011405655.1_00019		hypothetical protein	SO:0001217, UniRef:UniRef50_R9KVH1, UserProtein:GCF_011405655.1_00019
contig_1	cds	28841	29302	-	GCF_011405655.1_00020	purE	N5-carboxyaminoimidazole ribonucleotide mutase	COG:COG0041, EC:5.4.99.18, SO:0001217, UniRef:UniRef50_A0A643FCY5, UserProtein:GCF_011405655.1_00020
contig_1	cds	29480	29710	+	GCF_011405655.1_00021		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A4S4G091, UserProtein:GCF_011405655.1_00021
contig_1	cds	30215	31216	+	GCF_011405655.1_00023		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A369P9V1, UserProtein:GCF_011405655.1_00023
