Gene_Name	Cluster_ID	Functions
GCF_011405655.1_00008	GCF_011405655.1_1:Cl_0	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00009	GCF_011405655.1_1:Cl_0	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00010	GCF_011405655.1_1:Cl_0	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00025	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00053	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00074	GCF_011405655.1_1:Cl_1	Equol Gene Cluster/hydrogenase maturase/HYDF
GCF_011405655.1_00075	GCF_011405655.1_1:Cl_1	Equol Gene Cluster/hydrogenase maturase/HYDG
GCF_011405655.1_00076	GCF_011405655.1_1:Cl_1	Equol Gene Cluster/hydrogenase maturase/HYDE
GCF_011405655.1_00077	GCF_011405655.1_1:Cl_1	Equol Gene Cluster/hydrogenase maturase/HNDD
GCF_011405655.1_00078	GCF_011405655.1_1:Cl_1	Equol Gene Cluster/hydrogenase maturase/NADO
GCF_011405655.1_00091	GCF_011405655.1_1:Cl_2	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00092	GCF_011405655.1_1:Cl_2	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00172	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/DDRC
GCF_011405655.1_00274	GCF_011405655.1_1:Cl_3	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00275	GCF_011405655.1_1:Cl_3	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00352	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/fix electron transport/FIXC
GCF_011405655.1_00367	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00451	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/DZNR
GCF_011405655.1_00473	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00495	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00527	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00633	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00655	GCF_011405655.1_1:Cl_4	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00656	GCF_011405655.1_1:Cl_4	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00686	GCF_011405655.1_1:Cl_5	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00690	GCF_011405655.1_1:Cl_5	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00691	GCF_011405655.1_1:Cl_5	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00693	GCF_011405655.1_1:Cl_5	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00709	GCF_011405655.1_1:Cl_6	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00710	GCF_011405655.1_1:Cl_6	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00741	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00771	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00805	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00856	GCF_011405655.1_1:Cl_7	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00858	GCF_011405655.1_1:Cl_7	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00868	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/other genes/DEVR
GCF_011405655.1_00880	GCF_011405655.1_1:Cl_8	Equol Gene Cluster/Equol Production Pathway/THDR
