Gene_Name	Cluster_ID	Functions
GCF_000478885.1_00128	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/other genes/HYPO
GCF_000478885.1_00190	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/other genes/HYPO
GCF_000478885.1_00203	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_00268	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_00285	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_00384	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_00456	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/DHDR
GCF_000478885.1_00482	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/fix electron transport/FIXX
GCF_000478885.1_00581	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_00618	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_00637	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_00718	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_00817	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_00834	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/hydrogenase maturase/HYDF
GCF_000478885.1_00936	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_00938	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_00940	GCF_000478885.1_1:Cl_0	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_00950	GCF_000478885.1_1:Cl_1	Equol Gene Cluster/Equol Production Pathway/DZNR
GCF_000478885.1_00954	GCF_000478885.1_1:Cl_1	Equol Gene Cluster/fix electron transport/FIXA
GCF_000478885.1_00955	GCF_000478885.1_1:Cl_1	Equol Gene Cluster/fix electron transport/FIXB
GCF_000478885.1_00964	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_00969	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/fix electron transport/FIXX
GCF_000478885.1_01020	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_01033	GCF_000478885.1_1:Cl_2	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_01035	GCF_000478885.1_1:Cl_2	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_01036	GCF_000478885.1_1:Cl_2	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_01039	GCF_000478885.1_1:Cl_2	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_01248	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_01312	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/other genes/HYPO
GCF_000478885.1_01416	GCF_000478885.1_1:Cl_3	Equol Gene Cluster/Equol Production Pathway/DHDR
GCF_000478885.1_01419	GCF_000478885.1_1:Cl_3	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_000478885.1_01442	GCF_000478885.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
