Gene_Name	Cluster_ID	Functions
GCF_011405655.1_00009	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00025	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00077	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/hydrogenase maturase/HNDD
GCF_011405655.1_00352	GCF_011405655.1_1:Cl_0	Equol Gene Cluster/fix electron transport/FIXC
GCF_011405655.1_00353	GCF_011405655.1_1:Cl_0	Equol Gene Cluster/fix electron transport/FIXX
GCF_011405655.1_00363	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/fix electron transport/FIXA
GCF_011405655.1_00527	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00616	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/DHDR
GCF_011405655.1_00682	GCF_011405655.1_1:Cl_2	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00686	GCF_011405655.1_1:Cl_2	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00691	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00709	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00741	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00888	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_00973	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_01003	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_01350	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_01541	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/hydrogenase maturase/HYDF
GCF_011405655.1_01660	GCF_011405655.1_1:Cl_1	Equol Gene Cluster/fix electron transport/FIXX
GCF_011405655.1_01661	GCF_011405655.1_1:Cl_1	Equol Gene Cluster/fix electron transport/FIXC
GCF_011405655.1_01663	GCF_011405655.1_1:Cl_1	Equol Gene Cluster/fix electron transport/FIXA
GCF_011405655.1_01787	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_01853	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_01933	GCF_011405655.1_1:Cl_3	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_01935	GCF_011405655.1_1:Cl_3	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_01944	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_02255	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_02314	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_02334	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_02361	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_02419	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
GCF_011405655.1_02435	GCF_011405655.1_1:Cl_NA	Equol Gene Cluster/Equol Production Pathway/THDR
